Country,Population,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Revovered,Active Cases,"Serious, Critical Cases",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop
Cayman Islands,66963,17687,,16 ,,8553,,9118,2,264131,239,222773,3326807
Tajikistan,9881928,17367,,124 ,,17218,,25,,1757,13,,
South Sudan,11404799,16880,,137 ,,13077,,3666,1,1480,12,328884,28837
Equatorial Guinea,1477005,15853,,182 ,,15546,,125,5,10733,123,273437,185129
Djibouti,1011104,15529,,189 ,,15317,,23,,15358,187,278186,275131
Gibraltar,33675,14168,,101 ,,12850,,1217,3,420728,2999,500357,14858411
CAR,4964774,14110,,110 ,,6859,,7141,2,2842,22,81294,16374
San Marino,34046,13571,,109 ,,12258,,1204,2,398608,3202,129050,3790460
Grenada,113362,13102,,212 ,,12341,,549,1,115577,1870,130818,1153985
Gambia,2525735,11911,,365 ,,11461,,85,4,4716,145,135608,53691
Greenland,56928,11333,,7 ,,2761,,8565,15,199076,123,164926,2897098
Yemen,30881713,11166,,"2,028 ",,7183,,1955,23,362,66,265253,8589
Bermuda,61908,11146,,120 ,,10754,,272,,180041,1938,772573,12479373
Dominica,72274,10311,121,53 ,,9228,22,1030,,142665,733,156356,2163378
Liechtenstein,38304,10238,,74 ,,9658,,506,3,267283,1932,80413,2099337
Saint Martin,39726,9774,,63 ,,1399,,8312,7,246035,1586,78366,1972663
Eritrea,3625354,9660,,102 ,,9434,,124,,2665,28,23693,6535
Sint Maarten,43659,9469,,83 ,,9106,,280,10,216885,1901,62056,1421379
Monaco,39690,8956,,49 ,,8630,,277,4,225649,1235,54960,1384732
Niger,25613460,8703,,303 ,,8229,,171,1,340,12,221998,8667
Comoros,899374,7998,9,160 ,,7680,8,158,,8893,178,,
Guinea-Bissau,2042748,7820,,158 ,,6873,,789,6,3828,77,120656,59066
Sierra Leone,8237731,7648,,125 ,,N/A,N/A,N/A,,928,15,259958,31557
Liberia,5248712,7358,,290 ,,5747,,1321,2,1402,55,139824,26640
Caribbean Netherlands,26615,7347,,31 ,,7088,,228,,276047,1165,30126,1131918
Antigua and Barbuda,99233,7321,,134 ,,6616,,571,1,73776,1350,18901,190471
Chad,17183009,7214,,190 ,,4874,,2150,,420,11,191341,11135
Bhutan,785274,6779,,5 ,,4562,,2212,,8633,6,1795074,2285921
St. Vincent Grenadines,111507,6721,,101 ,,6495,,125,17,60274,906,97565,874967
British Virgin Islands,30555,5928,,58 ,,N/A,N/A,N/A,12,194011,1898,98247,3215415
Sao Tome and Principe,225702,5916,,71 ,,5824,,21,,26212,315,29036,128648
